,location,total_sqft,bath,price,bhk
2399,9th Phase JP Nagar,1127.0,2.0,50.0,2
2400,Other,600.0,2.0,23.0,2
2401,Other,1364.0,2.0,70.0,2
2402,Whitefield,2268.0,3.0,146.0,4
2403,Other,1150.0,2.0,77.5,3
2404,Other,1146.0,2.0,39.5,2
2405,Magadi Road,1345.0,2.0,55.0,2
2406,Other,1110.0,2.0,41.0,2
2407,Kengeri,750.0,2.0,36.0,2
2408,Other,1156.0,2.0,49.5,2
2409,Pattandur Agrahara,1247.0,2.0,59.8,2
2410,Other,1058.0,2.0,60.0,2
2411,Kaggalipura,950.0,2.0,48.0,2
2412,Vijayanagar,1520.0,2.0,103.0,3
2413,Marathahalli,1215.0,2.0,58.86,2
2414,Other,900.0,1.0,30.0,1
2415,Hennur Road,2350.0,3.0,174.0,3
2416,Thanisandra,1050.0,2.0,46.0,2
2417,Laggere,2800.0,5.0,125.0,5
2418,Other,1500.0,2.0,65.0,3
2419,Other,1400.0,2.0,65.0,2
2420,8th Phase JP Nagar,2700.0,4.0,130.0,4
2421,Bommasandra,920.0,2.0,37.46,2
2422,Sarjapur  Road,1200.0,3.0,70.0,3
2423,HSR Layout,1140.0,2.0,46.0,2
2424,Haralur Road,1464.0,2.0,56.0,2
2425,Electronics City Phase 1,1555.0,2.0,82.0,3
2426,Whitefield,1150.0,2.0,55.0,2
2427,Kadubeesanahalli,970.0,2.0,35.0,2
2428,Banashankari,2500.0,4.0,95.0,4
2429,Other,1166.0,2.0,53.0,2
2430,Electronic City,1350.0,3.0,58.0,3
2431,Other,900.0,2.0,46.0,2
2432,7th Phase JP Nagar,1300.0,2.0,52.0,3
2433,Other,1190.0,3.0,55.0,3
2434,Kodichikkanahalli,1495.0,2.0,75.0,3
2435,Banashankari Stage III,1350.0,2.0,68.0,3
2436,Green Glen Layout,940.0,2.0,56.8,2
2437,Raja Rajeshwari Nagar,1100.0,2.0,55.0,2
2438,Kaikondrahalli,1300.0,2.0,61.0,2
2439,Hoodi,1105.0,2.0,46.37,2
2440,Sarjapur  Road,2600.0,3.0,200.0,3
2441,Yelahanka,1517.0,3.0,76.3,3
2442,Jalahalli,1615.0,3.0,89.75,3
2443,Other,1500.0,3.0,65.0,3
2444,Mysore Road,1082.0,3.0,50.5,3
2445,Marathahalli,1365.0,2.0,73.0,2
2446,CV Raman Nagar,1392.0,2.0,98.0,2
2447,Kodigehalli,1086.0,2.0,33.66,2
2448,Hennur Road,1586.0,3.0,93.94,3
2449,Hennur,1100.0,2.0,60.0,2
2450,Electronic City Phase II,1065.0,2.0,30.75,2
2451,7th Phase JP Nagar,1575.0,2.0,120.0,3
2452,Hennur Road,1975.0,3.0,123.0,3
2453,Other,820.0,2.0,24.0,2
2454,Gubbalala,1745.0,3.0,110.0,3
2455,Nagarbhavi,1223.0,2.0,60.0,2
2456,Ananth Nagar,1200.0,2.0,65.0,3
2457,Basaveshwara Nagar,1200.0,2.0,90.0,2
2458,Binny Pete,665.0,1.0,46.08,1
2459,Bharathi Nagar,1351.0,2.0,70.0,2
2460,Hebbal,1355.0,3.0,83.87,3
2461,Sector 7 HSR Layout,3900.0,3.0,300.0,3
2462,Thanisandra,1588.0,3.0,75.55,3
2463,Amruthahalli,900.0,2.0,60.0,2
2464,Harlur,3385.0,4.0,260.0,4
2465,Panathur,1370.0,2.0,75.0,3
2466,Whitefield,1500.0,3.0,71.8,3
2467,Kanakpura Road,1100.0,3.0,53.0,3
2468,Hoodi,1247.0,2.0,53.0,2
2469,Balagere,1020.07,2.0,68.38,2
2470,Other,1033.0,2.0,32.0,3
2471,Other,1460.0,2.0,73.0,3
2472,Garudachar Palya,1150.0,2.0,52.8,2
2473,Sarjapur  Road,5965.0,5.0,385.0,5
2474,Babusapalaya,1141.0,2.0,46.0,2
2475,Doddaballapur,4200.0,4.0,325.0,4
2476,Hosa Road,1665.0,2.0,125.0,3
2477,Kanakapura,1295.0,2.0,64.0,2
2478,Haralur Road,1230.0,2.0,78.0,2
2479,Other,1080.0,2.0,75.0,3
2480,Kaggalipura,1000.0,2.0,60.0,2
2481,Whitefield,937.0,1.0,32.79,1
2482,Rayasandra,1708.0,3.0,75.0,3
2483,Thanisandra,1697.0,3.0,115.0,3
2484,Hosa Road,615.0,1.0,28.29,1
2485,Banashankari,1350.0,2.0,83.0,3
2486,Kanakpura Road,2245.0,2.0,66.4,3
2487,Jalahalli,1083.0,2.0,32.49,2
2488,Gottigere,1460.0,2.0,65.0,3
2489,Babusapalaya,1084.0,2.0,58.0,2
2490,Bommasandra,1035.0,2.0,41.43,2
2491,Other,2400.0,2.0,150.0,3
2492,Hosur Road,460.0,1.0,21.0,1
2493,Whitefield,1285.0,2.0,55.9,2
2494,Sarjapur,1200.0,3.0,78.0,3
2495,Other,1070.0,2.0,35.0,2
2496,Hegde Nagar,1801.0,3.0,140.0,3
2497,Whitefield,1697.0,3.0,115.0,3
2498,AECS Layout,1199.0,2.0,65.0,2
2499,Mysore Road,1340.0,2.0,64.31,3
2500,Marathahalli,3800.0,4.0,205.0,4
2501,Other,1125.0,2.0,75.0,2
2502,Anandapura,1200.0,2.0,67.0,2
2503,Subramanyapura,1050.0,2.0,41.0,2
2504,Nagarbhavi,956.0,2.0,49.0,2
2505,Sarjapur,1000.0,2.0,30.0,2
2506,Other,1596.0,3.0,95.0,3
2507,Kanakpura Road,1296.0,2.0,89.06,2
2508,Other,1639.0,3.0,123.0,3
2509,Electronic City Phase II,1219.0,2.0,61.25,2
2510,Uttarahalli,1200.0,3.0,50.0,3
2511,Bannerghatta Road,1218.0,2.0,73.0,2
2512,Other,920.0,2.0,37.0,2
2513,Yeshwanthpur,2559.0,3.0,141.0,3
2514,2nd Phase Judicial Layout,525.0,1.0,26.0,1
2515,Bannerghatta Road,1427.0,2.0,48.51,3
2516,Kothannur,1270.0,3.0,45.0,3
2517,Ramagondanahalli,920.0,2.0,65.0,2
2518,Ramamurthy Nagar,1355.0,2.0,40.0,3
2519,Lingadheeranahalli,1530.0,2.0,90.0,3
2520,Other,1372.0,2.0,90.0,3
2521,Marathahalli,3895.0,4.0,220.0,4
2522,Jakkur,1950.0,3.0,131.0,3
2523,Other,885.0,2.0,40.0,2
2524,Yelahanka,600.0,2.0,27.0,2
2525,Kanakpura Road,1339.0,2.0,62.0,2
2526,Whitefield,1130.0,2.0,36.0,2
2527,Uttarahalli,1085.0,2.0,43.0,2
2528,Yeshwanthpur,1430.0,3.0,72.0,3
2529,Other,1490.0,2.0,59.6,3
2530,Other,1650.0,4.0,99.0,4
2531,Bellandur,1286.0,2.0,57.0,2
2532,Other,925.0,2.0,63.0,2
2533,Bellandur,3016.0,4.0,230.0,4
2534,Haralur Road,1000.0,2.0,44.0,2
2535,Whitefield,1215.0,2.0,39.0,2
2536,Other,1200.0,3.0,95.0,4
2537,Lakshminarayana Pura,1336.0,2.0,100.0,2
2538,Yeshwanthpur,673.0,1.0,36.85,1
2539,Anandapura,1200.0,2.0,58.0,2
2540,Other,1200.0,2.0,79.0,2
2541,Devanahalli,2400.0,5.0,100.0,5
2542,Sector 2 HSR Layout,1143.0,2.0,65.0,2
2543,Kanakpura Road,1470.0,2.0,61.74,2
2544,Marathahalli,1785.0,3.0,94.0,3
2545,Kothanur,1460.0,3.0,71.0,3
2546,Kasturi Nagar,1500.0,2.0,80.0,3
2547,Sanjay nagar,3300.0,3.0,250.0,5
2548,Chikkalasandra,1230.0,2.0,48.0,2
2549,Yelahanka New Town,650.0,1.0,20.0,1
2550,Thanisandra,1220.0,2.0,43.92,2
2551,Other,1570.0,3.0,115.0,3
2552,Mallasandra,1665.0,3.0,86.91,3
2553,Ramamurthy Nagar,1100.0,2.0,68.0,2
2554,Kathriguppe,1350.0,2.0,87.01,3
2555,Kasavanhalli,1719.0,3.0,116.0,3
2556,Budigere,664.0,1.0,35.0,1
2557,Sonnenahalli,1011.0,2.0,50.53,2
2558,Other,2400.0,6.0,130.0,6
2559,Other,1680.0,3.0,85.0,3
2560,Yeshwanthpur,1069.0,2.0,49.475,2
2561,Uttarahalli,1350.0,2.0,53.0,3
2562,Pattandur Agrahara,875.0,2.0,33.0,2
2563,Hennur,1231.0,2.0,48.0,2
2564,Somasundara Palya,1174.0,2.0,74.0,2
2565,Munnekollal,1560.0,3.0,75.0,3
2566,Other,1464.0,2.0,56.0,2
2567,Kanakpura Road,2200.0,3.0,130.0,3
2568,Shivaji Nagar,850.0,2.0,55.0,2
2569,1st Phase JP Nagar,2024.0,3.0,157.0,3
2570,Devanahalli,1080.0,2.0,44.0,2
2571,Electronic City,1020.0,2.0,29.46,2
2572,Begur Road,1500.0,2.0,55.0,3
2573,Kodichikkanahalli,3250.0,4.0,180.0,4
2574,Uttarahalli,1175.0,2.0,47.0,2
2575,Channasandra,1030.0,2.0,34.5,2
2576,Hoodi,1500.0,2.0,84.0,2
2577,Thanisandra,1380.0,1.0,62.1,1
2578,Other,1200.0,2.0,50.0,2
2579,Other,705.0,1.0,36.5,1
2580,Hegde Nagar,1584.01,3.0,103.0,3
2581,Other,1340.0,3.0,77.0,3
2582,Other,1800.0,3.0,70.0,3
2583,R.T. Nagar,1200.0,2.0,45.0,2
2584,Sarjapur  Road,685.0,1.0,40.0,1
2585,Other,925.0,2.0,42.0,2
2586,Other,1230.0,2.0,57.0,2
2587,Kodichikkanahalli,1125.0,2.0,52.0,2
2588,Hebbal,1100.0,2.0,54.0,2
2589,Jigani,2400.0,3.0,149.0,3
2590,Electronic City Phase II,1400.0,2.0,41.58,3
2591,Jakkur,1858.0,3.0,98.3,3
2592,Other,1260.0,1.0,41.0,1
2593,HSR Layout,1185.0,2.0,60.0,2
2594,Hennur,1255.0,2.0,58.0,2
2595,Kudlu Gate,1335.0,3.0,89.0,3
2596,Dodda Nekkundi,1999.0,3.0,132.0,3
2597,Kundalahalli,1397.0,3.0,110.0,3
2598,Chikka Tirupathi,1616.0,3.0,95.0,3
2599,Raja Rajeshwari Nagar,1140.0,2.0,38.55,2
2600,Kanakpura Road,525.0,1.0,30.0,1
2601,Balagere,1205.47,2.0,81.0,2
2602,Electronic City,1700.0,3.0,75.0,3
2603,Kanakpura Road,1090.0,2.0,54.54,2
2604,Thanisandra,923.0,1.0,60.84,1
2605,Green Glen Layout,1050.0,2.0,48.0,2
2606,Whitefield,1495.0,2.0,79.5,2
2607,Hennur Road,2405.0,2.0,93.865,3
2608,Narayanapura,1485.0,3.0,85.0,3
2609,Dommasandra,1033.0,2.0,31.5,3
2610,Electronic City,1400.0,2.0,48.0,3
2611,Sarjapur  Road,944.0,2.0,35.0,2
2612,Whitefield,1216.0,2.0,66.48,2
2613,Other,1100.0,2.0,39.5,2
2614,Thanisandra,1743.0,3.0,93.25,3
2615,Yelahanka,1274.0,2.0,48.42,2
2616,Mysore Road,1512.0,2.0,110.0,3
2617,Cox Town,1650.0,3.0,100.0,3
2618,Doddathoguru,1875.0,3.0,55.0,3
2619,Whitefield,1350.0,3.0,54.0,3
2620,Other,1219.0,2.0,40.0,2
2621,Sarjapura - Attibele Road,2400.0,3.0,85.0,3
2622,Hormavu,1141.0,2.0,44.4,2
2623,Anandapura,1151.0,2.0,43.1,2
2624,Sarjapur  Road,915.0,2.0,38.0,2
2625,Bannerghatta Road,1115.0,2.0,65.12,2
2626,Kaggadasapura,1200.0,2.0,53.0,2
2627,Singasandra,1300.0,2.0,65.0,2
2628,Bellandur,1457.0,2.0,85.0,2
2629,Kannamangala,1262.0,2.0,55.0,2
2630,Attibele,420.0,1.0,17.0,1
2631,Kanakapura,1160.0,2.0,46.39,2
2632,Kasavanhalli,1115.0,2.0,50.0,2
2633,JP Nagar,1315.0,2.0,85.4,3
2634,Babusapalaya,1500.0,2.0,57.0,2
2635,HSR Layout,1127.0,2.0,68.0,2
2636,Kundalahalli,1397.0,3.0,104.0,3
2637,Whitefield,1173.0,2.0,60.0,2
2638,Jakkur,1230.0,2.0,76.0,2
2639,Other,3200.0,3.0,190.0,4
2640,Sarjapur  Road,858.0,2.0,31.57,2
2641,Talaghattapura,1868.0,3.0,121.0,3
2642,Uttarahalli,1689.28,3.0,91.2,3
2643,Banashankari,1425.0,3.0,49.88,3
2644,Tindlu,1350.0,2.0,100.0,2
2645,Channasandra,4200.0,6.0,180.0,6
2646,Uttarahalli,1310.0,2.0,85.0,3
2647,Haralur Road,4587.5,2.0,175.0,4
2648,Other,970.0,2.0,40.0,2
2649,Kundalahalli,1397.0,3.0,108.0,3
2650,Sarjapur,1157.0,2.0,40.0,2
2651,Kasavanhalli,1125.0,2.0,61.2,2
2652,Sonnenahalli,1157.0,2.0,42.0,2
2653,Sarjapur  Road,1241.0,2.0,82.0,2
2654,Marathahalli,4000.0,4.0,220.0,4
2655,Rajiv Nagar,2340.0,4.0,148.0,4
2656,Other,596.0,1.0,42.0,1
2657,Brookefield,1139.0,2.0,80.0,2
2658,Yeshwanthpur,1168.0,2.0,64.08,2
2659,Chandapura,877.0,2.0,42.0,2
2660,Electronics City Phase 1,1340.0,2.0,75.0,2
2661,Other,1405.0,2.0,70.0,3
2662,Other,1800.0,3.0,65.0,3
2663,Other,1360.0,2.0,65.0,3
2664,Other,985.0,2.0,63.0,2
2665,Other,1490.0,2.0,88.0,3
2666,Other,620.0,1.0,25.0,2
2667,Hormavu,1130.0,2.0,42.3,2
2668,Yelachenahalli,1080.0,2.0,55.0,2
2669,Singasandra,3126.0,4.0,120.0,4
2670,Begur Road,1410.0,2.0,52.17,3
2671,Bommanahalli,1375.0,3.0,59.0,3
2672,Hennur Road,1290.0,2.0,94.5,3
2673,Hosa Road,1318.0,2.0,85.28,3
2674,Electronic City,1128.0,2.0,68.0,2
2675,Other,4428.0,4.0,255.0,4
2676,Kanakpura Road,1051.0,2.0,56.74,2
2677,Kannamangala,2400.0,4.0,130.0,4
2678,Yelahanka,1327.0,2.0,85.0,2
2679,Other,1301.0,2.0,55.0,2
2680,Other,650.0,1.0,30.0,1
2681,Varthur,1200.0,3.0,67.75,3
2682,Other,1500.0,2.0,89.99,3
2683,Electronic City Phase II,1000.0,2.0,28.88,2
2684,Sarjapur  Road,984.0,2.0,45.91,2
2685,Hebbal,1355.0,3.0,83.87,3
2686,Other,910.0,1.0,42.0,1
2687,Other,1250.0,3.0,39.0,3
2688,Hosakerehalli,1304.0,2.0,100.0,2
2689,Begur Road,1615.0,3.0,58.0,3
2690,Sarjapur  Road,1400.0,2.0,68.0,2
2691,CV Raman Nagar,1070.0,2.0,47.5,2
2692,Hoodi,1132.0,2.0,89.37,2
2693,Other,2000.0,3.0,85.0,3
2694,Raja Rajeshwari Nagar,1090.0,2.0,43.59,2
2695,Gottigere,1500.0,3.0,70.0,3
2696,Kanakpura Road,525.0,1.0,30.0,1
2697,Bhoganhalli,1447.0,2.0,75.97,2
2698,Whitefield,1269.0,2.0,75.0,2
2699,Kanakpura Road,1070.0,2.0,37.45,2
2700,Marathahalli,1208.0,2.0,70.0,2
2701,Ramamurthy Nagar,1185.0,2.0,45.5,2
2702,Anekal,888.0,2.0,34.0,2
2703,Other,532.0,1.0,22.49,1
2704,Other,1060.0,3.0,62.0,3
2705,Electronic City,700.0,1.0,35.0,1
2706,Other,902.0,2.0,42.0,2
2707,Uttarahalli,1175.0,2.0,47.0,2
2708,Doddathoguru,984.0,2.0,51.0,2
2709,Hebbal,2700.0,2.0,100.0,4
2710,Jalahalli East,1475.0,3.0,96.0,3
2711,Haralur Road,1300.0,2.0,79.0,2
2712,Babusapalaya,1453.0,2.0,43.59,3
2713,Akshaya Nagar,1666.0,3.0,95.0,3
2714,Murugeshpalya,1845.0,3.0,91.0,3
2715,Sarjapura - Attibele Road,1676.0,3.0,52.0,3
2716,Uttarahalli,1137.0,2.0,63.0,2
2717,Electronic City,1360.0,2.0,70.5,3
2718,Other,1374.0,2.0,70.0,3
2719,Whitefield,3227.0,5.0,250.0,5
2720,Other,2145.0,4.0,125.0,4
2721,Kasavanhalli,2170.0,3.0,151.0,3
2722,Other,1080.0,2.0,55.0,2
2723,Electronic City Phase II,1790.0,3.0,100.0,3
2724,Doddathoguru,550.0,1.0,17.0,1
2725,Poorna Pragna Layout,1270.0,2.0,50.79,3
2726,Somasundara Palya,1033.0,2.0,48.0,2
2727,Other,1240.0,2.0,52.6,2
2728,Kambipura,883.0,2.0,39.0,2
2729,Other,1500.0,2.0,97.0,3
2730,Kasavanhalli,1915.0,3.0,80.0,3
2731,Whitefield,1545.0,3.0,79.0,3
2732,Hebbal Kempapura,1150.0,2.0,40.0,2
2733,Other,1200.0,2.0,49.0,2
2734,Kengeri,963.0,2.0,40.0,2
2735,Kaikondrahalli,1700.0,4.0,108.0,4
2736,Lingadheeranahalli,1682.0,3.0,120.0,3
2737,Yelahanka,1371.0,2.0,65.0,3
2738,Hennur Road,901.0,2.0,49.5,2
2739,Ambalipura,1730.0,3.0,120.0,3
2740,EPIP Zone,1500.0,3.0,102.0,3
2741,Other,3500.0,4.0,245.0,4
2742,Other,1203.0,2.0,59.86,2
2743,Horamavu Banaswadi,1357.0,2.0,54.0,2
2744,Other,1600.0,3.0,76.0,3
2745,Yelahanka New Town,350.0,1.0,13.5,1
2746,Varthur,1665.0,3.0,53.0,3
2747,Sarjapur  Road,835.0,1.0,46.95,1
2748,Haralur Road,1444.0,2.0,80.0,3
2749,Kanakapura,1277.0,2.0,55.0,2
2750,Lingadheeranahalli,1521.0,3.0,94.71,3
2751,Other,1134.0,2.0,40.0,2
2752,Vasanthapura,995.0,2.0,34.82,2
2753,Marathahalli,1325.0,1.0,92.0,2
2754,Kothanur,4000.0,6.0,150.0,6
2755,Marathahalli,1525.0,3.0,90.0,3
2756,Other,1320.0,2.0,73.0,3
2757,Electronics City Phase 1,650.0,1.0,23.0,1
2758,Electronic City,1150.0,2.0,38.0,2
2759,Electronic City Phase II,769.0,2.0,40.0,2
2760,Electronic City,1571.0,3.0,105.0,3
2761,Hennur Road,1445.0,3.0,86.56,3
2762,Bommasandra,902.0,2.0,49.0,2
2763,Sarjapur,2238.0,3.0,140.0,3
2764,Electronic City,1090.0,2.0,31.49,2
2765,Yelahanka,1712.0,3.0,82.0,3
2766,Haralur Road,1088.0,2.0,68.0,2
2767,Somasundara Palya,1575.0,3.0,63.1,3
2768,Kundalahalli,1920.0,3.0,150.0,3
2769,Margondanahalli,1000.0,2.0,57.0,2
2770,Other,1100.0,2.0,56.1,2
2771,Electronic City,1089.0,2.0,45.0,2
2772,Horamavu Agara,1106.0,2.0,43.09,2
2773,Kengeri,927.0,2.0,37.0,2
2774,Kanakpura Road,1339.0,2.0,58.0,2
2775,Thanisandra,923.0,1.0,45.69,1
2776,Lakshminarayana Pura,1175.0,2.0,75.0,2
2777,Thubarahalli,975.0,2.0,55.0,2
2778,Subramanyapura,1330.0,3.0,72.0,3
2779,Thanisandra,1183.0,2.0,59.74,2
2780,Harlur,1758.0,3.0,133.0,3
2781,Hebbal,1255.0,2.0,77.68,3
2782,Pai Layout,1100.0,2.0,50.0,2
2783,Ramamurthy Nagar,1170.0,2.0,46.8,2
2784,Other,2400.0,5.0,120.0,5
2785,Raja Rajeshwari Nagar,1530.0,3.0,51.77,3
2786,Hebbal,1420.0,2.0,107.0,2
2787,Kanakpura Road,1591.0,3.0,115.0,3
2788,7th Phase JP Nagar,1680.0,3.0,120.0,3
2789,Hoodi,1055.0,2.0,57.63,2
2790,Iblur Village,1918.0,3.0,129.0,3
2791,Sarjapur  Road,1280.0,2.0,76.0,2
2792,Nagarbhavi,1560.0,3.0,66.0,3
2793,Sarjapur  Road,1145.0,2.0,49.5,2
2794,Talaghattapura,2106.0,3.0,126.0,3
2795,Other,1801.0,3.0,139.0,3
2796,Whitefield,1306.0,3.0,54.65,3
2797,Hebbal,1320.0,2.0,92.0,2
2798,Other,1350.0,2.0,65.0,3
2799,Bannerghatta Road,1344.0,2.0,42.0,3
2800,Bannerghatta Road,1893.0,3.0,100.0,3
2801,Chandapura,1107.0,2.0,43.0,3
2802,Lakshminarayana Pura,1190.0,2.0,75.0,2
2803,Whitefield,1000.0,2.0,35.0,2
2804,Other,2400.0,2.0,160.0,2
2805,Kumaraswami Layout,1000.0,2.0,48.5,2
2806,Jalahalli,2113.0,3.0,155.0,3
2807,KR Puram,1100.0,2.0,46.0,2
2808,Harlur,1884.0,4.0,120.0,4
2809,Electronic City,1110.0,2.0,40.0,2
2810,Kudlu,1027.0,2.0,43.0,2
2811,Other,1250.0,3.0,40.0,3
2812,Sarjapur  Road,1470.0,3.0,62.0,3
2813,Other,1150.0,2.0,75.0,2
2814,Kudlu Gate,703.0,1.0,52.0,1
2815,Other,1400.0,2.0,62.0,3
2816,Bellandur,1195.0,2.0,51.0,2
2817,Narayanapura,1302.0,2.0,69.1,2
2818,Begur Road,1583.0,3.0,74.4,3
2819,Other,1488.0,2.0,60.0,3
2820,Electronic City,1600.0,3.0,104.0,3
2821,Old Airport Road,1150.0,2.0,90.0,2
2822,Sarjapur  Road,1263.0,2.0,78.0,2
2823,Kanakpura Road,1299.0,2.0,85.0,2
2824,Banashankari,1330.0,2.0,78.0,2
2825,Devanahalli,1282.0,2.0,52.43,3
2826,Other,1853.0,3.0,82.0,3
2827,Other,861.0,2.0,35.0,2
2828,Bannerghatta Road,1600.0,3.0,95.0,3
2829,Other,1256.0,2.0,62.8,2
2830,Other,1390.0,2.0,80.0,3
2831,Other,1550.0,2.0,90.0,3
2832,Hebbal,919.0,2.0,49.0,2
2833,Margondanahalli,1625.0,3.0,80.0,3
2834,Gunjur,1195.0,2.0,44.0,2
2835,Yelenahalli,1159.0,2.0,60.0,2
2836,Whitefield,1386.0,3.0,57.46,3
2837,Harlur,1197.0,2.0,79.0,2
2838,Old Airport Road,2690.0,4.0,191.0,4
2839,Jigani,5950.0,2.0,226.0,4
2840,Bommasandra,1295.0,2.0,50.28,3
2841,Other,1310.0,2.0,37.83,3
2842,Whitefield,1132.0,2.0,79.28,2
2843,Whitefield,1200.0,2.0,45.84,2
2844,Marathahalli,1937.0,3.0,140.0,3
2845,Doddathoguru,1015.0,2.0,33.5,2
2846,Other,1080.0,2.0,39.0,2
2847,Kathriguppe,1350.0,2.0,80.99,3
2848,Kothanur,1185.0,2.0,59.0,2
2849,Domlur,1720.0,3.0,135.0,3
2850,Tindlu,1500.0,3.0,87.0,3
2851,Yelahanka,1566.0,3.0,97.0,3
2852,Other,1500.0,4.0,110.0,4
2853,KR Puram,1290.0,2.0,49.02,2
2854,Other,1531.0,3.0,72.0,3
2855,Electronic City Phase II,1400.0,2.0,40.43,3
2856,Whitefield,1140.0,2.0,39.0,2
2857,Tumkur Road,1948.5,3.0,57.76,3
2858,Banashankari Stage III,2000.0,4.0,100.0,4
2859,Kaval Byrasandra,1100.0,2.0,46.0,2
2860,Other,1200.0,2.0,55.0,2
2861,Bannerghatta,1618.0,3.0,68.0,3
2862,Uttarahalli,1315.0,2.0,74.0,3
2863,Anandapura,1141.0,2.0,42.75,2
2864,AECS Layout,1080.0,2.0,55.0,2
2865,HBR Layout,1200.0,2.0,60.0,2
2866,Varthur,1111.0,2.0,41.88,2
2867,NGR Layout,1022.0,2.0,45.9,2
2868,Bannerghatta Road,1275.0,2.0,65.0,2
2869,Other,900.0,2.0,70.0,2
2870,Rachenahalli,1224.0,2.0,39.2,2
2871,Battarahalli,1135.0,2.0,43.0,2
2872,Rachenahalli,1050.0,2.0,52.1,2
2873,Kudlu Gate,1535.0,3.0,86.0,3
2874,Bellandur,1050.0,2.0,72.0,2
2875,Hosa Road,1513.0,3.0,103.0,3
2876,Gottigere,1621.0,3.0,72.0,3
2877,Bannerghatta Road,892.0,2.0,39.0,2
2878,Whitefield,1205.0,2.0,40.0,2
2879,Hebbal,1355.0,3.0,83.87,3
2880,Kengeri,726.0,2.0,35.0,2
2881,Horamavu Agara,1079.0,2.0,41.0,2
2882,Begur Road,1170.0,2.0,46.0,2
2883,Doddathoguru,1104.0,2.0,39.0,2
2884,Kanakpura Road,950.0,2.0,45.0,2
2885,Other,1650.0,2.0,52.0,3
2886,Other,1100.0,2.0,38.0,2
2887,Ramagondanahalli,1215.0,2.0,45.5,2
2888,Talaghattapura,1868.0,3.0,135.0,3
2889,Electronic City,1130.0,2.0,32.63,2
2890,Kanakpura Road,1570.0,3.0,64.5,3
2891,Sarjapur  Road,1691.0,3.0,98.0,3
2892,Hulimavu,1225.0,2.0,55.0,2
2893,JP Nagar,1690.0,3.0,112.0,3
2894,Thigalarapalya,1418.0,2.0,103.0,2
2895,Kasturi Nagar,1896.0,3.0,125.0,4
2896,Sonnenahalli,605.0,1.0,40.0,1
2897,Electronic City Phase II,900.0,2.0,32.5,2
2898,Ananth Nagar,908.0,2.0,26.0,2
2899,Thanisandra,3216.0,4.0,226.0,4
2900,Iblur Village,1400.0,2.0,68.0,2
2901,Kudlu,1092.0,2.0,44.0,2
2902,Hulimavu,1255.0,2.0,74.0,2
2903,Electronic City,1500.0,2.0,100.0,3
2904,Thanisandra,1296.0,2.0,72.0,2
2905,Horamavu Banaswadi,925.0,2.0,38.0,2
2906,Raja Rajeshwari Nagar,1023.0,2.0,42.0,2
2907,Thanisandra,1020.0,2.0,44.5,2
2908,Choodasandra,1530.0,3.0,77.0,3
2909,Gubbalala,1650.0,3.0,71.0,3
2910,Other,1605.0,2.0,85.0,3
2911,Kogilu,1190.0,2.0,50.66,2
2912,Jakkur,1374.0,3.0,68.0,3
2913,6th Phase JP Nagar,1140.0,2.0,65.0,2
2914,Green Glen Layout,1725.0,3.0,130.0,3
2915,Bisuvanahalli,1075.0,2.0,50.0,3
2916,Kannamangala,1574.0,3.0,93.34,3
2917,Sanjay nagar,965.0,1.0,32.0,1
2918,Marathahalli,1550.0,3.0,83.0,3
2919,Other,1205.0,2.0,60.0,2
2920,Kambipura,1082.0,2.0,55.0,3
2921,Uttarahalli,1215.0,2.0,52.85,3
2922,Ardendale,3198.0,4.0,250.0,4
2923,Kanakpura Road,1452.0,3.0,60.98,3
2924,Electronic City Phase II,1329.0,2.0,41.0,3
2925,Other,1125.0,2.0,44.0,2
2926,Other,1200.0,2.0,70.0,2
2927,Sarjapur  Road,1350.0,3.0,39.97,3
2928,Hebbal,2600.0,3.0,195.0,3
2929,Electronic City Phase II,1220.0,3.0,35.23,3
2930,Pai Layout,1255.0,2.0,80.0,2
2931,Somasundara Palya,1329.0,2.0,70.0,2
2932,Chandapura,1200.0,2.0,60.0,2
2933,Murugeshpalya,2135.0,3.0,160.0,3
2934,Other,813.0,1.0,39.0,1
2935,Other,3884.0,4.0,240.0,4
2936,Doddaballapur,3876.0,3.0,300.0,3
2937,Kalena Agrahara,800.0,2.0,30.0,2
2938,Hormavu,1500.0,3.0,70.0,3
2939,Bannerghatta Road,1880.0,3.0,95.0,3
2940,Electronic City,1440.0,2.0,55.0,3
2941,Akshaya Nagar,1575.0,3.0,90.0,3
2942,Other,1630.0,2.0,97.78,3
2943,Yelahanka,1180.0,3.0,55.0,3
2944,Other,1090.0,2.0,36.0,2
2945,NGR Layout,1020.0,2.0,48.45,2
2946,Other,2425.0,4.0,173.0,4
2947,Varthur,1097.0,2.0,33.82,2
2948,Raja Rajeshwari Nagar,1070.0,2.0,50.0,2
2949,Kumaraswami Layout,1000.0,2.0,58.0,2
2950,Other,1150.0,2.0,56.0,2
2951,Other,1141.0,2.0,49.0,2
2952,Jigani,937.0,2.0,44.0,2
2953,Green Glen Layout,1075.0,2.0,60.0,2
2954,Panathur,1000.0,2.0,65.3,2
2955,Kasavanhalli,1450.0,3.0,77.41,3
2956,Other,936.0,2.0,43.0,2
2957,Other,1280.0,2.0,75.0,2
2958,Babusapalaya,1050.0,2.0,45.0,2
2959,Marathahalli,1350.0,2.0,86.0,2
2960,Mallasandra,1325.0,2.0,70.0,2
